num_topics, beta, max_bleu, max_jaccard, max_cos, max_fscore
10,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.17307000582094875,0.09898255981900092,0.7245208,0.006957547218849244
10,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.17307000582094875,0.09898255981900092,0.7244241,0.006957547218849244
10,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.17307000582094875,0.09898255981900092,0.7244241,0.006957547218849244
10,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.17123909215466926,0.0979184190965304,0.7232314,0.006957547218849244
11,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.17615115864896816,0.10365437806095495,0.7350636,0.005910002875519432
11,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.17615115864896816,0.10365437806095495,0.7350636,0.005910002875519432
11,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.17615115864896816,0.10365437806095495,0.7350636,0.005910002875519432
11,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.17673939394308577,0.1040338656321893,0.73570573,0.005833402697807019
12,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.14535187588615137,0.08216008112098208,0.6998454,0.007801726772729682
12,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.14535187588615137,0.08216008112098208,0.6998454,0.007801726772729682
12,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.14535187588615137,0.08216008112098208,0.7000522,0.007801726772729682
12,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.14504884558312103,0.08197646530177305,0.7002848,0.007801726772729682
13,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.12562074707987994,0.07005333481580224,0.6932968,0.005627603521992044
13,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.12562074707987994,0.07005333481580224,0.6930556,0.005627603521992044
13,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.12562074707987994,0.07005333481580224,0.6930556,0.005627603521992044
13,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.12610303511704607,0.07048054265323928,0.69268227,0.005745825952882802
14,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.12120661635442033,0.06696548339000262,0.6481717,0.005627860793320272
