num_topics, beta, max_bleu, max_jaccard, max_cos, max_fscore
10,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.05994212698307022,0.03171255725212862,0.31225288,0.0036445573926205204
10,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.06045098716584345,0.031985185461990306,0.3114527,0.0032599420080051357
10,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.060784320499176786,0.03213457457142693,0.30960232,0.002294331439453391
10,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.06126783208562955,0.03238061031296081,0.30954143,0.0029515445515445517
10,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.06360663657022612,0.03364205596855995,0.31365266,0.002372731083488677
10,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.057817321334172514,0.030284526465943654,0.37530613,0.003688522554621626
10,[1. 1. 1. ... 1. 1. 1.],0.058131207138033415,0.030574174457186232,0.30388972,0.002542853242853243
11,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.06129261587304095,0.03266834356560502,0.3424884,0.002105080586659534
11,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.061530711111136185,0.032797973195234656,0.3416285,0.0025398631953551863
11,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.062052391327938355,0.03305237797682213,0.34227413,0.0024079619403178554
11,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.06199194074153163,0.03296887266678146,0.33908707,0.0023722749969553036
11,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.07359641967432895,0.03941109175313637,0.39512414,0.004415216746106534
11,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.05625757208344691,0.02958718717082457,0.3530727,0.0025427364621738026
11,[1. 1. 1. ... 1. 1. 1.],0.05412488822507787,0.02851353096738085,0.32308686,0.0028135997988939163
12,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.08261603174907889,0.044554741805852095,0.41761267,0.003923706764615856
12,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.08260762838773435,0.04459581090624323,0.41604438,0.003923706764615856
12,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.08437055893111152,0.045595876097157116,0.41368255,0.004150963649876694
12,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.08327379368898027,0.04493122269328631,0.4170467,0.0034932659932659935
12,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.0871536081795933,0.04712950125586476,0.4426038,0.004862173475950422
12,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.06655575505621902,0.03521529745201085,0.43098927,0.0034648410799726585
12,[1. 1. 1. ... 1. 1. 1.],0.0760445088309598,0.04058219164210934,0.42572427,0.0035987201204592508
13,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.0712141081854793,0.037856201998755334,0.40630183,0.003873771397684441
13,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.0694631762887751,0.03687182666996741,0.42127365,0.002955995901117852
13,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.07140357792982707,0.037976224053291686,0.40713167,0.0028896492396492395
13,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.07055839351145102,0.0375085284044094,0.41354135,0.002137917637917638
13,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.07765280330274042,0.04128308524457701,0.4216757,0.0022692307692307695
13,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.07352200001546816,0.039162200434268775,0.4163398,0.004052195595143634
13,[1. 1. 1. ... 1. 1. 1.],0.058652762586953885,0.030893430964840204,0.35392106,0.003498779480358427
14,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.08279006429523422,0.04434248506735907,0.38028276,0.005498514132921332
14,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.0833865555233044,0.04467792996460446,0.38016295,0.005536775534819098
14,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.08382119683379562,0.044885524302967286,0.38337678,0.005176333507710404
14,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.0854697489924284,0.04596540732788852,0.38953668,0.0034952279449275373
14,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.08073298389758236,0.04318202229027816,0.4132199,0.00432417008503965
14,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.06572056290288703,0.03493528580059815,0.39910233,0.002612768557890509
14,[1. 1. 1. ... 1. 1. 1.],0.054083262621757264,0.02842688640047277,0.39335832,0.001983220166670377
15,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.07377167821902855,0.039482777618295606,0.39946824,0.002964010359797003
15,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.07338706283441317,0.03927885604966815,0.40128642,0.0026516079855389584
15,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.07410501155236188,0.03967604487735233,0.4001992,0.0028970669938845647
15,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.07616002233701538,0.04080402095375033,0.38092318,0.0025614360791386755
15,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.07128244431015517,0.03807794683427396,0.38871142,0.0018832793223037127
15,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.05205497562070944,0.027247014219783244,0.3592078,0.002711084433773509
15,[1. 1. 1. ... 1. 1. 1.],0.057961956056684576,0.03048999437551923,0.3814859,0.002667220295003537
16,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.06506791974190022,0.03441048832421818,0.38422105,0.002714932126696833
16,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.06516682084080132,0.03446281593586484,0.3842619,0.002793145647208093
16,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.06553126488266472,0.03465140784454445,0.38420817,0.003757779731364681
16,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.0679990821357599,0.03597469102816921,0.38830578,0.003022634329400421
16,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.06529745674978915,0.034580487151107266,0.38942027,0.0035949178449178453
16,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.055716567872304765,0.029230986299315025,0.40696633,0.0038721278721278716
16,[1. 1. 1. ... 1. 1. 1.],0.06736792835646742,0.035705981485084165,0.41547814,0.0025359271757788376
17,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.05534302359195617,0.02914634940026703,0.31902233,0.0006256109481915934
17,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.055646053894986475,0.029315655973592643,0.3174827,0.0012512218963831867
17,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.055646053894986475,0.029315655973592643,0.31861997,0.0012512218963831867
17,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.05472867725361413,0.028797196922928002,0.31588006,0.0011725436902462866
