num_topics, beta, max_bleu, max_jaccard, max_cos, max_fscore

10,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.028783299277211006,0.025371791953589202,0.75975233,nan
10,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.029482018161015505,0.02592112780480899,0.7595376,nan
10,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.02980754971786021,0.026176488941214424,0.75916255,nan
10,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.0310204292515062,0.027135042100143936,0.75935984,nan
11,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.023704503131705083,0.022813718043344807,0.75285834,nan
11,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.02428885726387236,0.0233389043333242,0.7525033,nan
11,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.024774814364877558,0.02379163219827682,0.75386894,nan
11,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.025772523022132007,0.02471937615138767,0.75467795,nan
12,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.022816267053690397,0.02097098240516152,0.75258714,nan
12,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.023240767810584536,0.021373447489690393,0.7533114,nan
12,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.023543651147781324,0.021643846108791,0.75409955,nan
12,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.02481653894212543,0.02270744756301095,0.7553467,nan
13,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.01895368755008709,0.01715840583072322,0.74679375,nan
14,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.022970351889827673,0.019646730950184255,0.7376893,nan
14,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.023615887017321868,0.02016939164157315,0.7376834,nan
14,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.024061486144290836,0.02048224666005511,0.7386654,nan
14,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.025120690956410882,0.021316264267460864,0.73887634,nan
15,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.022334027966839396,0.021032117036866773,0.74738425,nan
15,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.023051294508555083,0.02170197392504071,0.74604756,nan
15,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.023537958296094227,0.022113593680635944,0.7460916,nan
15,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.024863304287341445,0.02260138319836048,0.74779594,nan
