num_topics, beta, max_bleu, max_jaccard, max_cos, max_fscore
31,[1. 1. 1. ... 1. 1. 1.],0.010547147846332944,0.012684497963769881,0.4818408,nan
32,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.008232301822806272,0.009598374085602168,0.4894994,nan
32,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.00851933216168717,0.009988216239563207,0.49119252,nan
32,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.008622834295868503,0.010155586156009103,0.49099243,nan
32,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.009062937062937064,0.01066243422456107,0.48903722,nan
32,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.009327931363203049,0.011036912199772169,0.49160525,nan
32,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.009875195007800314,0.01197526395565739,0.48640892,nan
32,[1. 1. 1. ... 1. 1. 1.],0.01073636874648679,0.012899382684913162,0.485496,nan
33,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.007945261437908498,0.009156417487742293,0.4991925,nan
33,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.008230050933786077,0.009545900702358341,0.4963072,nan
33,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.008383882149046793,0.009736897359759727,0.49520808,nan
33,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.008688747731397458,0.010194417282682729,0.49306092,nan
33,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.008906030855539973,0.010411676831921608,0.4880278,nan
33,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.009651639344262296,0.011579899684418592,0.47631833,nan
33,[1. 1. 1. ... 1. 1. 1.],0.010355555555555557,0.012476570136682527,0.47595346,nan
34,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.007764659582841402,0.00904256035059514,0.49149764,nan
34,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.007984464431725265,0.009371150876448,0.49304068,nan
34,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.00808731808731809,0.009501030846638153,0.49245223,nan
34,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.008557565063961183,0.010135053380980601,0.4861577,nan
34,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.008771929824561403,0.010382181730649673,0.48973197,nan
34,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.009789050728277246,0.011962425315713449,0.49184945,nan
34,[1. 1. 1. ... 1. 1. 1.],0.010536876355748378,0.01280631715175244,0.48433077,nan
35,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.007747466874512859,0.009062079434162013,0.49414957,nan
35,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.008008064516129034,0.009404448229343408,0.49331027,nan
35,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.008049382716049382,0.00948096562327564,0.4933552,nan
35,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.008702090592334495,0.010300655282215718,0.49159005,nan
35,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.008931737588652481,0.010629906246408756,0.49989685,nan
35,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.009559255631733593,0.011542145109477294,0.48161495,nan
35,[1. 1. 1. ... 1. 1. 1.],0.010259396506087877,0.012349333534030173,0.47855973,nan
36,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.007876344086021505,0.009143305006158982,0.49596205,nan
36,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.00812549642573471,0.009462589018513311,0.4976087,nan
36,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.008243843358901897,0.009631076450188349,0.49698213,nan
36,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.008694158075601373,0.010245817163018402,0.4940487,nan
36,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.009146234676007005,0.010740993127611396,0.5039544,nan
36,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.00967992240543162,0.011729528524249484,0.4928067,nan
36,[1. 1. 1. ... 1. 1. 1.],0.01006629270780214,0.012215788087297431,0.4898184,nan
37,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.007706283118849358,0.008936563411034633,0.48909968,nan
37,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.00791324736225088,0.009236539983863815,0.49084845,nan
37,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.008033573141486809,0.009394625861859294,0.48775506,nan
37,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.00833193277310924,0.009837375280647606,0.48410007,nan
37,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.008605341246290803,0.010142643147191138,0.48438075,nan
37,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.009422535211267603,0.01141194109713108,0.47309998,nan
37,[1. 1. 1. ... 1. 1. 1.],0.009705882352941177,0.01177437278321062,0.46902424,nan
38,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.007304412309974046,0.00867850433784879,0.48666814,nan
38,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.007527703477264043,0.00899570610931936,0.48726192,nan
38,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.007688422688422688,0.009209635965591378,0.4876402,nan
38,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.008068599428338097,0.009744338247746353,0.47974283,nan
38,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.008274865868757739,0.009981777657844455,0.49018556,nan
38,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.009019607843137255,0.011192034965465064,0.47893363,nan
38,[1. 1. 1. ... 1. 1. 1.],0.009512195121951221,0.011912109039465303,0.488205,nan
39,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.0072450805008944545,0.008560571514704327,0.49174282,nan
39,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.007487958503149313,0.008889129573531685,0.49167222,nan
39,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.0076240601503759385,0.009063775529616526,0.49031752,nan
39,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.00796488427773344,0.009588161944354807,0.48897296,nan
39,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.00825250501002004,0.00989793743057804,0.4933598,nan
39,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.008730650154798762,0.010745903580184133,0.4872458,nan
39,[1. 1. 1. ... 1. 1. 1.],0.00942925659472422,0.01154351939044529,0.49166718,nan
40,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.007113147691223125,0.008434608710884299,0.4904461,nan
40,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.0073224043715847,0.008725597548688771,0.488798,nan
40,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.007438843587842846,0.008909735427448546,0.48620293,nan
40,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.007814440993788821,0.009413037325066424,0.48666754,nan
40,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.008007858546168959,0.009606967455697219,0.48868075,nan
40,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.008877284595300261,0.010965737518558293,0.47169226,nan
40,[1. 1. 1. ... 1. 1. 1.],0.009696969696969697,0.011884388558486924,0.47356075,nan
41,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.007125874125874124,0.008392521017579799,0.49620414,nan
41,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.007344877344877344,0.008695854149334605,0.49564275,nan
41,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.007450549450549451,0.008845912830562025,0.4948338,nan
41,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.00786897880539499,0.009452479073981591,0.4978745,nan
41,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.008002331908278275,0.009580200226913747,0.48994103,nan
41,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.00877744296168747,0.010901707887005403,0.47803453,nan
41,[1. 1. 1. ... 1. 1. 1.],0.009113277623026926,0.011405766747145989,0.4909832,nan
42,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.007160326086956521,0.008483911261004347,0.4910084,nan
42,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.0073155305692199565,0.008737099117199124,0.4901626,nan
42,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.007455132806891602,0.008914221326891377,0.4885836,nan
42,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.008024971623155505,0.009704826194748422,0.48698315,nan
42,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.00804289544235925,0.009647016996374387,0.49005958,nan
42,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.008661016949152542,0.010621660084889033,0.48194888,nan
42,[1. 1. 1. ... 1. 1. 1.],0.009291954022988505,0.011237098691595351,0.49158248,nan
43,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.006809917355371901,0.007980887299018769,0.49170953,nan
43,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.007140405080672846,0.008410814074659302,0.48979414,nan
43,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.007217360868043404,0.008506032135678854,0.48780033,nan
43,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.007587865334813171,0.00905417848838269,0.48344028,nan
43,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.007800300300300299,0.009351782752902639,0.47775382,nan
43,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.008669185558354324,0.010610701264861648,0.4825465,nan
43,[1. 1. 1. ... 1. 1. 1.],0.009182275011420741,0.011288199142016009,0.48848262,nan
44,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.006958087753765555,0.008254025630463848,0.4877134,nan
44,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.007142857142857142,0.008526543076927566,0.48467696,nan
44,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.007376992376992377,0.00883971855523998,0.48489416,nan
44,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.007596048298572997,0.00917777433161889,0.4812604,nan
44,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.007814814814814813,0.009341148293005338,0.49527705,nan
44,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.00844006568144499,0.010424063967065482,0.48015988,nan
44,[1. 1. 1. ... 1. 1. 1.],0.00911319073083779,0.011051782589256232,0.47736,nan
