num_topics, beta, max_bleu, max_jaccard, max_cos, max_fscore

10,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.017426005867939284,0.018010353966392324,0.48215336,nan
10,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.018136522651974653,0.0187864350565277,0.48256436,nan
10,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.018692467170202374,0.01931231905299842,0.4824033,nan
10,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.019578921298795845,0.020316519633353913,0.47356465,nan
10,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.017793579921157057,0.019796389788924583,0.45727143,nan
10,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.02227647931280334,0.02255347511320303,0.50029105,nan
10,[1. 1. 1. ... 1. 1. 1.],0.02043907412591265,0.022954999451823235,0.48366722,nan
11,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.01432005208807544,0.015723289516910065,0.4960074,nan
11,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.015090601236109774,0.016645676707270192,0.49216774,nan
11,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.015300297957656146,0.016900720541411812,0.4883441,nan
11,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.01818688499207965,0.017494757875351447,0.4808158,nan
11,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.018191279350994197,0.01979064567469104,0.48466954,nan
11,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.019985289088999984,0.02155575951922801,0.49181065,nan
11,[1. 1. 1. ... 1. 1. 1.],0.020371657395497483,0.022194995794913436,0.49348244,nan
12,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.03456839739944123,0.026863036899626942,0.49445412,nan
12,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.035688564108039174,0.027689476273266803,0.49273548,nan
12,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.03591053074544864,0.027879280539085293,0.49086043,nan
12,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.03518115205693169,0.027730232689702036,0.4876453,nan
12,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.035850476356896775,0.028113971323247465,0.48284262,nan
12,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.03562107332370412,0.028274008730542376,0.50730544,nan
12,[1. 1. 1. ... 1. 1. 1.],0.023776521784085465,0.023583037192976032,0.4972898,nan
13,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.021200452976633907,0.020192250886242043,0.51415837,nan
13,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.024580294409411847,0.022663440986228446,0.5213151,nan
13,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.022557859048252728,0.02144093069094901,0.51430357,nan
13,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.02587785377164858,0.023709867630487526,0.520923,nan
13,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.02309707226921658,0.023045005290456277,0.5361263,nan
13,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.029696014239975428,0.023925993638923993,0.4984876,nan
13,[1. 1. 1. ... 1. 1. 1.],0.019826365714955704,0.02138857546550088,0.48261836,nan
14,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.015519735541819728,0.016768421176695393,0.5105383,nan
14,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.016188476399523824,0.017549633198929313,0.50886554,nan
14,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.01652718531309786,0.01799447727859911,0.5087969,nan
14,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.017180352355249798,0.018567370623601153,0.50130403,nan
14,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.01948490032315849,0.02037871607454573,0.5055724,nan
14,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.018528557245189797,0.019041765197976245,0.5040802,nan
14,[1. 1. 1. ... 1. 1. 1.],0.017827570425123347,0.020016038093789806,0.5041426,nan
15,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.026961677956930167,0.020250570940563897,0.5202314,nan
15,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.02706361404223849,0.02041895837058921,0.5220506,nan
15,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.02743537040131442,0.020696279940254487,0.51930314,nan
15,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.028473524154008074,0.02201461994026377,0.49665,nan
15,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.02964264603609835,0.022456598488617852,0.5187064,nan
15,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.025444593956403794,0.02097173543268181,0.4896183,nan
15,[1. 1. 1. ... 1. 1. 1.],0.026378009000314683,0.022424867269149336,0.48207298,nan
16,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.0158355658657324,0.014965088148965064,0.50945884,nan
16,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.017124459243310085,0.015423438410484554,0.510777,nan
16,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.020071587900161666,0.018049435310190327,0.50996786,nan
16,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.021186335638598987,0.018597041662653576,0.5050754,nan
16,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.0177094525461176,0.01666210643605751,0.505217,nan
16,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.018499876462718567,0.017867344907390975,0.49971715,nan
16,[1. 1. 1. ... 1. 1. 1.],0.022769759304771126,0.020662463881702228,0.50862896,nan
17,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.018479514120615454,0.017318260802332845,0.50235814,nan
17,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.019560981705876924,0.01830391924874292,0.496622,nan
17,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.01941642577379056,0.018212374410935418,0.49911994,nan
17,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.020100740525651205,0.018766494552189684,0.4956448,nan
17,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.021371162099421852,0.019960704734521103,0.50388384,nan
17,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.017712029509881003,0.018342310592348313,0.50870854,nan
17,[1. 1. 1. ... 1. 1. 1.],0.017128951368216013,0.01752051512038871,0.48778728,nan
18,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.01940479928952979,0.018909740246803416,0.507033,nan
18,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.02078128264931891,0.020261765081029677,0.5103472,nan
18,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.021253390072218208,0.02035261367734404,0.5021222,nan
18,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.0196318238743806,0.0195408152615647,0.5086713,nan
18,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.01918134708435277,0.019128926685850988,0.50763106,nan
18,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.018144684223969518,0.01760501357363227,0.512841,nan
18,[1. 1. 1. ... 1. 1. 1.],0.016491169810657492,0.01833241905222898,0.52424145,nan
19,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.018106743118505225,0.016421696866899357,0.48309207,nan
19,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.018810864495967063,0.016976337209223244,0.48609748,nan
19,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.018217594071737283,0.01713775166531162,0.48311728,nan
19,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.019725582502224812,0.018272446960063783,0.48369464,nan
19,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.020207441558966414,0.018083940152806333,0.5112736,nan
19,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.016684778221235135,0.016520799830012266,0.5254309,nan
19,[1. 1. 1. ... 1. 1. 1.],0.01794335602757197,0.017339860518521048,0.4959218,nan
20,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.016109601281422036,0.01515153810361213,0.49380225,nan
20,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.01684016237464743,0.015780823252289116,0.48774233,nan
20,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.017238423900301194,0.01609751348853157,0.48788494,nan
20,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.01774104154544638,0.0166399705854002,0.4829138,nan
20,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.023031111156731777,0.020347967626644356,0.5054219,nan
20,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.01753892639135429,0.01578880989341464,0.45025405,nan
20,[1. 1. 1. ... 1. 1. 1.],0.019047642943049878,0.01675528355126072,0.46831346,nan
21,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.013878625887465378,0.01356815304763611,0.49467996,nan
