num_topics, beta, max_bleu, max_jaccard, max_cos, max_fscore
10,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.0334134902576875,0.026909320181973503,0.6645837,nan
10,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.034851661750759114,0.027990629116520012,0.66238135,nan
10,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.03638422862727545,0.028691905067160354,0.66164887,nan
11,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.02706962625859323,0.024080196611252953,0.6821421,nan
11,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.027711959022889154,0.02464041730138558,0.6828014,nan
11,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.028099965243570238,0.024927539064920182,0.68267393,nan
11,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.030266641535311507,0.026054716828207685,0.6809796,nan
12,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.03063453105900899,0.02648533550391238,0.65568805,nan
12,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.031195639652198518,0.026940797619914657,0.65436697,nan
12,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.03164559527740953,0.027280841433663477,0.6537223,nan
12,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.03063453105900899,0.02648533550391238,0.65568805,nan
12,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.031195639652198518,0.026940797619914657,0.65436697,nan
12,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.03164559527740953,0.027280841433663477,0.6537223,nan
12,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.032661806377541305,0.028042882161502535,0.65137774,nan
13,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.024788615135922266,0.022382531310240344,0.6707113,nan
13,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.02530915732529521,0.022763880661404494,0.66940093,nan
13,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.025586022226651083,0.022849390641366197,0.67031294,nan
13,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.02700154674599028,0.023763954792063086,0.6684353,nan
14,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.021844852801723005,0.018923275859436234,0.61503977,nan
14,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.02261864147122671,0.019603415655921327,0.61378914,0.0
14,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.0228357625877697,0.019771069010846767,0.6124407,0.0
14,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.023730877321448195,0.020405369109106734,0.6119503,0.0
15,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.024374655181464158,0.020399035994529253,0.63485396,nan
15,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.025245420947201357,0.0213111050823749,0.6334475,nan
15,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.025720443694879327,0.021662406145109815,0.63324034,nan
15,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.02695331786430824,0.02242088656481892,0.62785196,nan
16,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.025981483611706296,0.0219807768349186,0.6548488,nan
16,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.02681488143808396,0.022685924789696544,0.65514046,nan
16,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.027220809403197568,0.023007868231123413,0.65353805,nan
16,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.029548554398979,0.024441973384005968,0.65537614,nan
17,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.026167927208134614,0.022793905586705684,0.6673723,nan
17,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.026969922204326705,0.023459036239892726,0.66717535,nan
17,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.027399998326395728,0.023854554994942222,0.6671341,nan
17,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.028586602795042118,0.024611113864842146,0.66679764,nan
18,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.027527551029820057,0.02213622743775923,0.67134756,nan
18,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.028623303910275816,0.022957822958237326,0.67145246,nan
18,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.028949687148022568,0.023238875821336123,0.6712698,nan
18,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.030498564850773777,0.02426506250475608,0.6710497,nan
19,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.020642277803782437,0.01782258420648801,0.62053764,nan
19,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.021335430944864994,0.018340900709757833,0.61876047,nan
19,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.021799625837738333,0.018676707354252347,0.61777574,nan
19,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.022838382700231738,0.019488831306905638,0.6197814,nan
20,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.023010216014330353,0.018452728732125268,0.6571318,nan
20,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.023912916330322977,0.019117426383407847,0.6544246,nan
20,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.024532805844224157,0.019500292715190666,0.6543822,nan
20,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.02581375760705641,0.02020629904724444,0.6527244,nan
21,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.017867331133828098,0.015342412565882393,0.6241781,nan
21,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.01848317241331246,0.01585295818636723,0.6202107,nan
21,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.01888409082684642,0.016091246275535764,0.61910444,nan
21,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.021160341768102945,0.017922411890544176,0.62636495,nan
22,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.021569487593306395,0.017589099600891035,0.65675354,nan
22,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.022465046697397514,0.01824652608333216,0.65665954,nan
22,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.02299079194617902,0.018570127917531945,0.65670305,nan
22,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.025900588182580942,0.02148928221877577,0.64571685,nan
23,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.023784357174221685,0.019144484353170562,0.6423501,nan
23,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.024737442723852244,0.019840202749424177,0.6403967,nan
23,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.025283917448159738,0.02023445457057379,0.6415604,nan
23,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.027879502014183228,0.0216774953365296,0.64631563,nan
24,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.021472233036949086,0.017608780986511165,0.63796353,nan
24,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.022209335021117885,0.018174313544031918,0.63887566,nan
24,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.02238689687261565,0.01823591882305245,0.63708544,nan
24,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.0236184901641603,0.019287585306156887,0.6389545,nan
25,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.025728828144981463,0.021278633675322088,0.6422782,nan
25,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.026301986801419555,0.021704098903209637,0.637788,nan
25,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.026789217158265786,0.02202190771132984,0.63571215,nan
25,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.02858930661511946,0.022909117671994148,0.6318834,nan
26,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.017240667588197763,0.015192682533075614,0.6156148,nan
26,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.017919143420675042,0.015680396012808018,0.61777514,nan
26,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.018199389612257446,0.0158076073490104,0.61973196,nan
26,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.01931855918813634,0.01662993859354335,0.61635244,nan
27,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.0180017203866756,0.015420211504483446,0.59343237,nan
27,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.0185189760612199,0.01582248787312384,0.59544903,nan
27,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.018694792083244767,0.01587006787842668,0.5923916,nan
27,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.019744311658731147,0.016639168733480026,0.5921464,nan
28,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.01578563140812575,0.01371758657448284,0.5846778,nan
28,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.017928923887578645,0.014788439528256982,0.5829361,nan
28,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.018254532164036087,0.01488810254991934,0.5841902,nan
28,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.019076409129256736,0.015546390070341677,0.5842318,nan
29,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.026063069490746802,0.020786736451839472,0.6432567,nan
29,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.027167650028089674,0.02149303375777599,0.64026105,nan
29,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.02700175204118842,0.021232517115264846,0.63675934,nan
29,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.027661889122057755,0.02107131493952725,0.6280017,nan
30,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.022773341639432024,0.018608355752281827,0.6422426,nan
30,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.023174371263351597,0.019003430969039715,0.64251256,nan
30,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.023729613367956967,0.019206708483791236,0.6413261,nan
30,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.026192451632869887,0.021070793704875242,0.64253336,nan
31,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.02142857733863799,0.018018299543301905,0.62358487,nan
31,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.022592719869381918,0.01883774702358647,0.6253637,nan
