Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
64,0.03,0.413683155,-2.493688409,-1.34531035,-0.011329119
60,0.01,0.418658832,-2.40208649,-1.311320273,-0.01144386
60,0.01,0.418658832,-2.40208649,-1.311320273,-0.01144386
66,0.03,0.413352081,-2.35537978,-1.275090762,-0.011444954
68,0.005,0.415624773,-2.367412464,-1.320004613,-0.011522395
69,0.03,0.417764161,-2.399532572,-1.340089904,-0.011644347
69,0.05,0.413796252,-2.450966198,-1.330617406,-0.011848203
69,0.01,0.416305937,-2.402765643,-1.332920815,-0.011864971
60,0.03,0.418025917,-2.416950399,-1.34608224,-0.011964902
40,0.5,0.434730922,-2.648827602,-1.493053261,-0.012157066
61,0.05,0.415593559,-2.464281027,-1.366217378,-0.012387993
68,0.001,0.414793977,-2.372282125,-1.331481032,-0.012426439
62,0.09,0.419047172,-2.469818176,-1.349040791,-0.012517448
68,0.003,0.414648347,-2.378021165,-1.339622373,-0.012678094
60,0.05,0.417072082,-2.426567022,-1.347112129,-0.012692493
60,0.05,0.417072082,-2.426567022,-1.347112129,-0.012692493
68,0.01,0.415894968,-2.401996648,-1.357211685,-0.012850816
65,0.007,0.414714749,-2.429366571,-1.363299887,-0.013172725
64,0.07,0.414155256,-2.53844149,-1.411145749,-0.0135945
68,0.009,0.416383485,-2.40585653,-1.376192759,-0.013595592
67,0.001,0.419677636,-2.485708652,-1.382198072,-0.013676228
66,0.05,0.410219733,-2.405215349,-1.344219172,-0.013704458
65,0.001,0.413183584,-2.429020593,-1.377809876,-0.01378335
65,0.001,0.413183584,-2.429020593,-1.377809876,-0.01378335
63,0.03,0.413496714,-2.509797761,-1.393093779,-0.01380961
61,0.07,0.417827148,-2.53037476,-1.421669615,-0.013914615
65,0.005,0.414040522,-2.43937409,-1.383519408,-0.013986283
65,0.005,0.414040522,-2.43937409,-1.383519408,-0.013986283
61,0.1,0.42198082,-2.605350941,-1.459081694,-0.014026026
65,0.003,0.413667533,-2.434368383,-1.38906528,-0.014069967
67,0.003,0.419295014,-2.499886052,-1.398528029,-0.014314735
69,0.07,0.4139467,-2.495010899,-1.434940965,-0.014510279
67,0.005,0.419660916,-2.496235771,-1.406190679,-0.014546921
69,0.1,0.415133295,-2.571248097,-1.466325861,-0.014630151
68,0.03,0.417734371,-2.464691596,-1.426739443,-0.014750214
67,0.007,0.420416339,-2.496074241,-1.412783605,-0.014770343
60,0.1,0.416341321,-2.495099442,-1.452625058,-0.014982934
60,0.1,0.416341321,-2.495099442,-1.452625058,-0.014982934
63,0.05,0.413046715,-2.521550154,-1.419186415,-0.015082838
60,0.07,0.416295676,-2.476609126,-1.43282109,-0.015148626
65,0.01,0.411592045,-2.461255485,-1.390905091,-0.01515213
65,0.01,0.411592045,-2.461255485,-1.390905091,-0.01515213
65,0.009,0.411696297,-2.469374358,-1.402960811,-0.015425908
66,0.07,0.40832328,-2.483850835,-1.419431387,-0.015874444
64,0.1,0.410643801,-2.62899202,-1.488250988,-0.016031157
61,0.09,0.420138983,-2.600663526,-1.507263484,-0.016134655
65,0.03,0.408482588,-2.487308658,-1.435487496,-0.016270975
63,0.07,0.408645392,-2.497953427,-1.44310993,-0.016668731
67,0.009,0.416463474,-2.508461856,-1.467990801,-0.016953727
67,0.01,0.416463474,-2.508384247,-1.467990801,-0.016953727
65,0.05,0.407200769,-2.519130028,-1.463083456,-0.017030821
65,0.05,0.407200769,-2.519130028,-1.463083456,-0.017030821
69,0.09,0.412998369,-2.595527385,-1.530420275,-0.017704727
68,0.05,0.413555241,-2.50404995,-1.480084919,-0.017712789
64,0.09,0.412091255,-2.661992222,-1.541887085,-0.018227977
63,0.09,0.410497049,-2.572862014,-1.543529224,-0.018964047
66,0.1,0.410214974,-2.562504991,-1.522245951,-0.019077994
70,0.001,0.414871471,-2.536689876,-1.545751377,-0.019349672
63,0.1,0.409892653,-2.581724312,-1.546317164,-0.019446251
75,0.001,0.410639093,-2.49596588,-1.494573791,-0.019600193
67,0.05,0.408968589,-2.53857946,-1.516141506,-0.019818091
60,0.09,0.415382777,-2.510847511,-1.567831257,-0.020125911
70,0.01,0.417257472,-2.518216692,-1.565365218,-0.020348128
65,0.1,0.413278481,-2.632724572,-1.597889686,-0.02040372
65,0.1,0.413278481,-2.632724572,-1.597889686,-0.02040372
67,0.03,0.409790258,-2.566551432,-1.542265853,-0.020556742
68,0.07,0.416657274,-2.562005438,-1.577202586,-0.020617512
70,0.005,0.415313734,-2.536677946,-1.576782868,-0.020659458
66,0.09,0.407167611,-2.542864057,-1.543160551,-0.020661628
65,0.07,0.406309646,-2.53649256,-1.555828782,-0.020831452
75,0.01,0.412755351,-2.564896283,-1.552049916,-0.021168854
75,0.005,0.410949393,-2.549124059,-1.558469458,-0.02190953
68,0.09,0.414108672,-2.621558276,-1.622535158,-0.022203834
65,0.09,0.409622538,-2.613067305,-1.619669633,-0.022205576
61,0.2,0.428977306,-2.782029994,-1.714968356,-0.022553982
67,0.07,0.407280718,-2.583640528,-1.608376723,-0.022911625
62,0.2,0.418553234,-2.725129093,-1.689391921,-0.022995726
70,0.05,0.412034213,-2.558813404,-1.666381929,-0.023989914
67,0.09,0.406562026,-2.589084217,-1.639100397,-0.02435055
68,0.1,0.41480535,-2.655801684,-1.676208368,-0.024496532
80,0.001,0.401788304,-2.630700439,-1.639751791,-0.024645334
63,0.2,0.418413718,-2.80490757,-1.751212056,-0.024999199
67,0.1,0.406959531,-2.626186271,-1.678853397,-0.025499787
80,0.005,0.402331935,-2.625782529,-1.661655383,-0.025674997
75,0.05,0.40434952,-2.581024674,-1.645302088,-0.025908848
80,0.05,0.400225522,-2.607689589,-1.675754595,-0.026571474
80,0.01,0.400883959,-2.650386908,-1.691368365,-0.026834003
61,0.3,0.427192825,-2.91202374,-1.885592598,-0.028454427
70,0.1,0.408042416,-2.688184585,-1.823667246,-0.029018604
35,1,0.444494057,-3.442420428,-1.983660423,-0.02957844
60,0.2,0.415897306,-2.740527102,-1.850928151,-0.030016228
65,0.2,0.412698838,-2.874956212,-1.899678448,-0.0311589
64,0.2,0.411116409,-2.881642524,-1.917920675,-0.031570327
62,0.3,0.416757576,-2.951531773,-1.982297736,-0.033029143
69,0.2,0.414662921,-2.954492907,-1.999840283,-0.034311863
85,0.001,0.395735415,-2.671336858,-1.859828644,-0.034814084
85,0.005,0.392587864,-2.717732008,-1.868966694,-0.035011475
75,0.1,0.404340996,-2.79461335,-1.938215216,-0.035258849
68,0.2,0.412539374,-2.8340677,-2.008362345,-0.035316204
63,0.3,0.422470328,-3.038412195,-2.031657187,-0.035351429
85,0.01,0.394325715,-2.727129897,-1.902748056,-0.036492275
66,0.2,0.413393081,-2.951761983,-2.082618908,-0.037797007
80,0.1,0.394190448,-2.854348323,-1.993995316,-0.037923924
85,0.05,0.393599695,-2.809542242,-1.9991018,-0.039901102
90,0.001,0.396035035,-2.766474032,-2.006526364,-0.039940347
90,0.001,0.396035035,-2.766474032,-2.006526364,-0.039940347
90,0.001,0.396035035,-2.766474032,-2.006526364,-0.039940347
50,0.5,0.406138216,-3.049480509,-2.146614652,-0.040062006
60,0.3,0.413041965,-2.953740036,-2.165813831,-0.040278739
66,0.3,0.409123356,-3.05502156,-2.191685588,-0.040303885
40,1,0.439770293,-3.714183478,-2.322155457,-0.040618139
90,0.005,0.39471822,-2.773281736,-2.035286248,-0.040994451
90,0.005,0.39471822,-2.773281736,-2.035286248,-0.040994451
90,0.005,0.39471822,-2.773281736,-2.035286248,-0.040994451
61,0.4,0.43259404,-3.258707592,-2.274072039,-0.041877623
90,0.01,0.395431394,-2.802674189,-2.082658299,-0.042395117
90,0.01,0.395431394,-2.802674189,-2.082658299,-0.042395117
68,0.3,0.415431276,-3.013288137,-2.283172659,-0.044790868
85,0.1,0.395059618,-3.031425992,-2.199779559,-0.045557277
55,0.5,0.431960299,-3.372425463,-2.367866667,-0.046290164
63,0.4,0.432974091,-3.443990428,-2.398048067,-0.046449515
65,0.3,0.411076263,-3.101462566,-2.336745411,-0.046723724
67,0.2,0.405131769,-3.106979035,-2.287271771,-0.046988951
69,0.3,0.411844787,-3.243154249,-2.339364751,-0.047296699
95,0.001,0.393530492,-2.8922989,-2.201380891,-0.048012687
95,0.001,0.393530492,-2.8922989,-2.201380891,-0.048012687
64,0.3,0.41514918,-3.2479433,-2.353253534,-0.048024884
95,0.005,0.39367913,-2.883923798,-2.223841929,-0.049121698
95,0.005,0.39367913,-2.883923798,-2.223841929,-0.049121698
62,0.4,0.419694046,-3.31967342,-2.42570748,-0.049465985
95,0.01,0.392867895,-2.915321517,-2.246939476,-0.049575966
95,0.01,0.392867895,-2.915321517,-2.246939476,-0.049575966
67,0.3,0.410668121,-3.292930968,-2.419014816,-0.049648806
61,0.5,0.437117386,-3.414850957,-2.502150065,-0.050132217
90,0.05,0.389111494,-2.918879403,-2.285953147,-0.050305465
90,0.05,0.389111494,-2.918879403,-2.285953147,-0.050305465
66,0.4,0.426677799,-3.497833299,-2.549000029,-0.051754927
45,1,0.450154837,-4.403235975,-2.611418779,-0.051979523
100,0.001,0.388994532,-2.895662836,-2.294200036,-0.052071833
100,0.001,0.388994532,-2.895662836,-2.294200036,-0.052071833
100,0.005,0.38758765,-2.904611753,-2.302252172,-0.05286811
100,0.005,0.38758765,-2.904611753,-2.302252172,-0.05286811
100,0.01,0.387830626,-2.923459642,-2.322227309,-0.053487691
95,0.05,0.390485136,-2.956347143,-2.366571149,-0.054220384
95,0.05,0.390485136,-2.956347143,-2.366571149,-0.054220384
60,0.4,0.414142911,-3.190756984,-2.552344356,-0.054688185
90,0.1,0.389996297,-3.148746423,-2.435858545,-0.054818279
90,0.1,0.389996297,-3.148746423,-2.435858545,-0.054818279
95,0.1,0.389273572,-3.144610514,-2.516372677,-0.05819672
63,0.5,0.432285272,-3.845757663,-2.725674389,-0.058258916
69,0.4,0.419327009,-3.524589732,-2.67398669,-0.058362478
100,0.05,0.387676319,-3.054203466,-2.479417224,-0.058986317
110,0.001,0.393224145,-3.070703322,-2.494798391,-0.059460415
110,0.001,0.393224145,-3.070703322,-2.494798391,-0.059460415
61,0.6,0.434251358,-3.805804776,-2.745021644,-0.059573055
68,0.4,0.422218614,-3.424232765,-2.703021135,-0.060431127
65,0.4,0.413513373,-3.382119798,-2.710095288,-0.060490967
110,0.005,0.394616162,-3.085727913,-2.527194018,-0.060765081
64,0.4,0.420061347,-3.622823084,-2.739283729,-0.06102381
