Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
12,0.3,0.543428953,-2.207170222,-0.746282801,0.048241509
6,0.05,0.560467945,-2.044005858,-0.493205201,0.048087488
6,0.04,0.560467945,-2.046205901,-0.493205201,0.048087488
6,0.03,0.560467945,-2.047243016,-0.493205201,0.048087488
12,0.03,0.55176323,-2.122733995,-0.578968983,0.047908024
12,0.6,0.570986041,-2.281235,-0.904599914,0.047891074
12,0.01,0.55129648,-2.067454916,-0.578303841,0.047885498
15,0.07,0.57788678,-2.326250337,-0.727581837,0.047760595
7,0.03,0.561485058,-1.948679943,-0.493186474,0.047512058
6,0.07,0.559197456,-2.02502877,-0.498686047,0.047484104
6,0.06,0.559197456,-2.025437932,-0.498686047,0.047484104
10,0.02,0.56010502,-2.166705855,-0.467246998,0.047313354
7,0.04,0.560422212,-1.94073024,-0.495901978,0.047181521
7,0.02,0.556677138,-1.944912734,-0.463756164,0.047093056
12,0.02,0.54412314,-2.065519369,-0.62120349,0.046208164
11,0.2,0.546738761,-2.154081247,-0.691724375,0.046064729
6,0.5,0.565461066,-2.107092019,-0.534495448,0.045774468
12,0.04,0.54870509,-2.125355316,-0.640471893,0.045361901
15,0.4,0.557024849,-2.498214109,-0.919543185,0.045316885
6,0.6,0.563130715,-2.175086704,-0.583125859,0.045232186
14,0.005,0.550318932,-2.041621606,-0.697630045,0.045180994
14,0.06,0.553591304,-2.029341175,-0.769955043,0.045066302
14,0.07,0.555780906,-2.036288221,-0.825017457,0.044798428
6,1,0.567563046,-2.329908324,-0.687488133,0.044529881
11,0.005,0.556155176,-2.080282245,-0.682716757,0.044254587
11,0.03,0.558389636,-2.083617435,-0.714777561,0.044155885
11,0.1,0.561195911,-2.113322099,-0.762699268,0.043734805
15,0.08,0.570122221,-2.401308166,-0.829773806,0.043131878
12,0.06,0.548905389,-2.159211735,-0.732264186,0.042687539
14,0.05,0.545393002,-2.029391435,-0.783625785,0.041954769
12,1,0.561700728,-2.771547949,-1.206702127,0.041948672
6,0.09,0.549591616,-2.060925862,-0.600126468,0.041429239
11,0.01,0.553283631,-2.137639854,-0.784235226,0.041404226
12,0.05,0.548059546,-2.146025106,-0.746869043,0.041249812
11,0.08,0.559883765,-2.162422211,-0.819476132,0.041247147
13,0.01,0.552439492,-2.213139839,-0.86289867,0.040893729
13,0.03,0.552923023,-2.232832968,-0.870807472,0.040857985
6,0.08,0.549060096,-2.158793352,-0.726472127,0.040706199
7,0.06,0.553972075,-1.933270027,-0.604700972,0.040452081
7,0.07,0.553972075,-1.939331086,-0.604700972,0.040452081
11,0.02,0.551992125,-2.126932063,-0.800683445,0.040421752
7,0.05,0.552888981,-1.935272178,-0.606418797,0.040351495
13,0.02,0.552345387,-2.229643011,-0.886278635,0.040302677
12,0.2,0.539238304,-2.417226731,-0.878358737,0.040287377
11,0.05,0.550754277,-2.110394723,-0.826076022,0.039845036
11,0.04,0.551886837,-2.139490106,-0.824525875,0.039832387
9,0.4,0.556170423,-2.323967295,-0.978137006,0.039164733
11,0.06,0.5509098,-2.128503523,-0.873281948,0.038738728
13,0.3,0.55209075,-2.249394787,-0.931306959,0.038641227
13,0.005,0.548292065,-2.238648799,-0.897901803,0.03831242
11,0.07,0.551093023,-2.141594889,-0.856957115,0.038273658
13,0.04,0.551241804,-2.245897558,-0.994690677,0.03727975
10,0.4,0.54617076,-2.19458013,-0.913080065,0.036970587
12,0.09,0.5449437,-2.355383906,-0.942324489,0.036598512
8,0.2,0.544375506,-2.394102546,-0.992239367,0.036487231
30,0.005,0.548255196,-2.242515436,-0.985677759,0.036435608
30,0.005,0.548255196,-2.242515436,-0.985677759,0.036435608
30,0.001,0.550738992,-2.236502094,-1.018022425,0.03622252
12,0.07,0.547062793,-2.245886658,-0.929679075,0.035808948
3,0.7,0.547326932,-1.485539055,-0.180448856,0.035701541
3,0.6,0.547326932,-1.486390319,-0.180448856,0.035701541
3,0.8,0.547326932,-1.487177946,-0.180448856,0.035701541
3,0.9,0.547326932,-1.487344926,-0.180448856,0.035701541
3,1,0.547326932,-1.487344926,-0.180448856,0.035701541
3,0.5,0.547326932,-1.491865747,-0.180448856,0.035701541
12,0.08,0.554157558,-2.268809152,-0.99389724,0.035324224
3,0.4,0.54213444,-1.601181683,-0.26548075,0.035217251
14,0.03,0.540538418,-2.169192129,-0.936803717,0.035190452
13,0.06,0.548728894,-2.375051496,-1.090160865,0.035154083
30,0.01,0.548495596,-2.254712341,-1.043430218,0.034881924
30,0.01,0.548495596,-2.254712341,-1.043430218,0.034881924
13,0.05,0.545651789,-2.35438327,-1.096990729,0.034880708
9,0.7,0.551205369,-2.564266331,-1.191288971,0.03464292
9,0.6,0.55034219,-2.465960444,-1.141018578,0.034462019
11,0.3,0.534348624,-2.175949378,-0.942947836,0.034275216
3,0.2,0.54036961,-1.65313489,-0.35419346,0.034040002
9,0.5,0.553072352,-2.478119007,-1.160018913,0.03403788
14,0.01,0.543997134,-2.263664544,-0.975919532,0.033961272
14,0.02,0.537346799,-2.187764524,-0.955528429,0.033890914
3,0.3,0.540085281,-1.59342554,-0.289866782,0.033696226
11,0.09,0.547394208,-2.23555808,-0.93853754,0.0334621
8,0.09,0.530245918,-2.317345922,-0.984915453,0.033458415
16,0.05,0.546919509,-2.37676756,-1.065283326,0.033433224
13,0.2,0.525746438,-2.458589954,-1.053553728,0.03325344
15,0.3,0.532163946,-2.659048326,-1.117639318,0.033088836
7,0.09,0.547163717,-2.037302564,-0.839279731,0.032426964
9,0.8,0.550498418,-2.611817082,-1.278614516,0.032424247
13,0.4,0.54539601,-2.571556005,-1.180673086,0.032051928
14,0.04,0.538508264,-2.279775841,-1.037580336,0.031904513
10,0.3,0.544985404,-2.256083871,-0.933523787,0.03174229
14,0.1,0.550570455,-2.470993349,-1.24319735,0.031671653
14,0.09,0.54021739,-2.409586247,-1.239915202,0.030993593
7,0.08,0.545760524,-1.893980242,-0.863111492,0.030572197
30,0.02,0.544477316,-2.180158742,-1.08866521,0.030121913
16,0.03,0.552250857,-2.301008775,-1.140373035,0.03000837
28,0.005,0.546484988,-2.262377328,-1.169451114,0.029583342
13,0.07,0.541567916,-2.416315885,-1.202855297,0.029315362
14,0.08,0.539877728,-2.300148792,-1.239269917,0.029046242
12,0.1,0.528731116,-2.637211245,-1.208962384,0.028555369
17,0.005,0.55256219,-2.470875252,-1.188874114,0.027853721
8,0.1,0.521123706,-2.370160423,-1.041548107,0.027823921
29,0.005,0.542846878,-2.214654174,-1.172925303,0.027606228
15,0.1,0.568582213,-2.669437289,-1.206629649,0.027406443
9,0.9,0.550396627,-2.685641537,-1.431061445,0.027151219
30,0.03,0.540237189,-2.188314996,-1.151886739,0.027112991
8,0.08,0.519558239,-2.452793438,-1.115583697,0.027089192
15,0.7,0.563424178,-3.720486649,-1.498071833,0.026842218
8,0.005,0.54979542,-2.60643921,-1.170376978,0.02650475
17,0.03,0.564831533,-2.547558304,-1.332469183,0.026475989
16,0.06,0.539811374,-2.443731907,-1.204770115,0.026470359
15,0.5,0.542437117,-2.966589934,-1.396964093,0.02623574
17,0.02,0.562174264,-2.458903146,-1.290054687,0.026203566
17,0.01,0.55911415,-2.413603989,-1.252526749,0.025954917
10,0.5,0.545375079,-2.355467699,-1.235028751,0.025791142
8,0.01,0.547716116,-2.607414078,-1.15654637,0.025790629
17,0.06,0.56879235,-2.731982618,-1.370846299,0.025738858
20,0.01,0.540667752,-2.344622615,-1.180519076,0.025671401
