Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
30,0.01,0.441252854,-1.861165447,-0.065228663,0.037152812
75,1,0.441144371,-7.178715977,-4.669532912,-0.135194869
75,1,0.441144371,-7.178715977,-4.669532912,-0.135194869
77,0.9,0.440950836,-6.647254478,-4.761095117,-0.139524396
74,1,0.440809053,-7.068302831,-4.632782284,-0.13158265
50,5,0.427959343,-10.3355661,-2.531332264,-0.044496796
50,10,0.348433367,-12.15084792,-2.171526583,-0.042210138
50,25,0.319619752,-11.92142014,-1.769210359,-0.021350837
50,50,0.371323659,-8.780819029,-1.427150394,0.000688389
50,75,0.490149108,-7.398098678,0.67681724,0.128385491
50,100,0.577281071,-6.464410973,1.740982273,0.2019168
50,125,0.608799785,-6.185234219,1.725340812,0.209125576
50,150,0.623669709,-5.914190101,1.891067734,0.220524767
50,175,0.660796297,-4.975557602,2.170100161,0.234657202
50,200,0.671734414,-4.449067605,2.437620612,0.238614195
76,1,0.440265618,-7.185528769,-4.879187332,-0.142380791
165,1,0.44018649,-10.44202603,-4.418648104,-0.129614391
75,0.9,0.439979057,-6.395846737,-4.335604838,-0.120611121
35,1,0.439587504,-3.305036216,-1.781884033,-0.017561449
150,1,0.439426468,-10.12634364,-4.348687876,-0.125398452
150,1,0.439426468,-10.12634364,-4.348687876,-0.125398452
71,0.9,0.438083299,-6.253484707,-4.414502997,-0.125352153
55,5,0.41451316,-10.46432557,-2.782960594,-0.059301716
55,10,0.385040099,-11.58657334,-2.174515623,-0.0334437
55,25,0.313146942,-11.87926322,-1.791100141,-0.025862595
55,50,0.355195612,-8.354637484,-1.749781592,-0.017450723
55,75,0.53016389,-6.968459492,0.703303835,0.135830224
55,100,0.64803423,-5.574884938,2.197209698,0.226563162
55,125,0.629071677,-5.968845008,1.824143683,0.208843246
55,150,0.701808895,-4.725203684,2.468820493,0.248809099
55,175,0.713050432,-4.206463231,2.675903745,0.26365398
55,200,0.713811389,-3.644889052,2.768141763,0.26246924
72,0.9,0.437836817,-6.413439003,-4.497325837,-0.127822886
195,0.5,0.437381827,-8.629748902,-4.953735912,-0.152798319
35,0.001,0.437190739,-1.97276521,-0.208720187,0.02971522
35,0.01,0.436973703,-1.989805246,-0.209655145,0.029582233
35,0.05,0.436876265,-2.045931563,-0.292414381,0.026945938
35,0.005,0.436808967,-1.983759735,-0.214046957,0.029307486
80,0.9,0.436555534,-6.874038331,-4.78843355,-0.14249721
60,5,0.418416283,-10.39946284,-2.645807202,-0.055056987
60,10,0.361096426,-11.4289,-2.638838752,-0.058393831
60,25,0.335543703,-11.15610785,-1.809775178,-0.022862649
60,50,0.398888444,-7.426578207,-1.623285684,-0.007719921
60,75,0.552395501,-5.757589748,1.110272092,0.159066001
60,100,0.63707966,-4.95154483,2.081515224,0.217647288
60,125,0.629385023,-5.701050783,1.983976291,0.227333028
60,150,0.665116612,-5.135614568,2.405015308,0.250740772
60,175,0.704077615,-4.082321432,2.723483883,0.265533647
60,200,0.6935252,-3.61897709,2.410122601,0.242748605
195,1,0.436412323,-11.24264045,-4.361128576,-0.128774152
25,0.05,0.436296639,-1.802061573,-0.029596584,0.036781986
165,0.5,0.436165103,-7.944523225,-4.825966138,-0.145828476
25,0.005,0.435381242,-1.760631792,0.022542903,0.038714488
25,0.01,0.435381242,-1.760792261,0.022542903,0.038714488
25,0.001,0.435381242,-1.761218806,0.022542903,0.038714488
190,0.5,0.434870636,-8.522241095,-4.826289854,-0.146852323
65,5,0.395783199,-10.81656288,-3.029433419,-0.07437144
65,10,0.359594685,-10.93509225,-2.7460944,-0.062947516
65,25,0.309440225,-11.1158492,-1.888970373,-0.028543884
65,50,0.34714558,-7.571461229,-1.950855504,-0.025873118
65,75,0.594082548,-5.199811918,1.494612604,0.179455423
65,100,0.665268385,-4.3271705,2.310460459,0.228127871
65,125,0.692197919,-4.761898954,2.667566494,0.257725397
65,150,0.702367199,-4.444287576,2.695128701,0.265766538
65,175,0.706251167,-3.729969413,2.683959942,0.260885255
65,200,0.615584828,-3.38361083,1.845234053,0.196349464
185,0.5,0.434323655,-8.515374302,-4.745739528,-0.143615764
20,0.1,0.434278205,-1.687703068,0.079443124,0.038016163
210,0.5,0.434067368,-9.043933791,-4.751012114,-0.145192151
175,1,0.433921215,-10.70166605,-4.468237359,-0.13174232
205,0.5,0.433840731,-8.954929571,-4.928387035,-0.152398271
180,0.5,0.433385231,-8.351208391,-4.946344168,-0.152142642
160,1,0.433034458,-10.44500398,-4.501375349,-0.132387358
70,5,0.384947398,-10.61212368,-2.806688207,-0.064509302
70,10,0.380228325,-9.91494653,-2.748690841,-0.056655631
70,25,0.321208096,-10.89270524,-2.257428352,-0.045948069
70,50,0.434826934,-6.036252068,-1.291257511,0.009145395
70,75,0.601426694,-5.253718504,1.314687839,0.16875233
70,100,0.63438626,-4.607353275,1.939792444,0.208689914
70,125,0.682752548,-4.984768689,2.487090716,0.24955904
70,150,0.681885901,-4.660654723,2.330706365,0.240154113
70,175,0.706493892,-3.754132162,2.656452829,0.254781782
70,200,0.735557553,-2.556657536,2.976404063,0.266130414
135,0.5,0.432713886,-6.781873405,-4.544565351,-0.134144266
135,0.5,0.432713886,-6.781873405,-4.544565351,-0.134144266
74,0.9,0.432621425,-6.533828323,-4.421522008,-0.124536439
35,0.1,0.43259074,-2.039493143,-0.285534964,0.026159281
145,0.5,0.432387277,-7.322568854,-4.613460212,-0.138139559
145,0.5,0.432387277,-7.322568854,-4.613460212,-0.138139559
155,0.5,0.432344591,-7.396460286,-4.730779148,-0.140224686
75,5,0.380003929,-10.64665397,-2.852187603,-0.068871133
75,10,0.355170048,-10.64530697,-2.927653049,-0.070626999
75,25,0.316870897,-10.52217896,-2.147787082,-0.039752727
75,50,0.399449789,-6.260030921,-1.872738546,-0.025218836
75,75,0.59025179,-4.488000124,1.327514149,0.167129333
75,100,0.655122611,-4.422883859,2.236380854,0.229063485
75,125,0.73598422,-4.053954325,3.08474435,0.283938051
75,150,0.732269903,-3.985573951,3.140702548,0.289598202
75,175,0.687594612,-3.653550299,2.659022026,0.255692193
75,200,0.642076519,-2.907082578,1.996059942,0.204856963
80,0.8,0.431951597,-6.130194272,-4.520131888,-0.13107727
79,0.8,0.431927946,-6.300988502,-4.524655245,-0.129015934
30,0.05,0.431454095,-1.899920927,-0.154991537,0.033374485
70,0.9,0.43118381,-6.270820924,-4.430697495,-0.126979422
72,0.8,0.430682802,-5.856354651,-4.293147012,-0.120440384
130,0.5,0.430678507,-6.820073346,-4.723778938,-0.142839896
130,0.5,0.430678507,-6.820073346,-4.723778938,-0.142839896
80,5,0.385431678,-10.1987631,-2.717950703,-0.06313511
80,10,0.338256124,-10.88196218,-2.707404441,-0.0636171
80,25,0.333117828,-9.2023359,-2.130906241,-0.039785369
80,50,0.396060506,-5.846655622,-1.460922281,-0.002411646
80,75,0.553401571,-4.411814289,0.790663478,0.13328566
80,100,0.655269072,-3.73781942,1.989961635,0.20367023
80,125,0.698656609,-4.664190665,2.564337584,0.255397293
80,150,0.707657202,-4.299790483,2.712841224,0.262053465
80,175,0.733398083,-3.174394408,3.043018092,0.275980422
80,200,0.687470425,-2.603045737,2.538926651,0.233360772
170,1,0.430624335,-10.82569456,-4.448197445,-0.130736605
160,0.5,0.430530931,-7.572602767,-4.646425389,-0.138359903
125,0.5,0.42970721,-6.273377649,-4.385161371,-0.128351102
125,0.5,0.42970721,-6.273377649,-4.385161371,-0.128351102
25,0.1,0.429510222,-1.789033414,-0.040670624,0.035627347
71,0.8,0.429346155,-5.599706194,-4.177093216,-0.116770101
190,1,0.429088163,-10.88496493,-4.393334687,-0.130682119
85,5,0.387627939,-10.62602294,-2.748733342,-0.064721667
85,10,0.331659302,-10.81248551,-2.732871624,-0.065887218
85,25,0.33150068,-9.232334347,-2.242108416,-0.046595259
85,50,0.356212964,-5.162370526,-1.910840669,-0.03546768
85,75,0.573314867,-3.72493169,0.760308266,0.126343941
85,100,0.652076598,-3.505892504,1.951415668,0.199192548
85,125,0.728856174,-3.996716235,2.823228633,0.272063213
85,150,0.743249282,-3.580593229,3.098273036,0.289309285
85,175,0.723976113,-3.468844731,2.960751453,0.2782174
85,200,0.696709856,-2.524554002,2.675333125,0.24233904
76,0.9,0.428525137,-6.675257641,-4.745689137,-0.138433578
170,0.5,0.42798103,-8.178476005,-4.948270628,-0.152678418
73,0.8,0.427853709,-5.726273344,-4.303138632,-0.120029993
40,0.001,0.427774114,-2.155943543,-0.443694962,0.020246313
65,1,0.427756669,-6.430531623,-4.353270307,-0.121886841
180,1,0.427541527,-10.53817065,-4.401307204,-0.13036121
110,0.5,0.427462382,-5.88075951,-4.262777072,-0.122505336
90,5,0.380710611,-10.35009778,-2.913181829,-0.070423314
90,10,0.342076145,-10.34705267,-2.782771153,-0.067440397
90,25,0.327223058,-8.969014474,-2.279522284,-0.045892821
90,50,0.395176205,-5.358250292,-1.532682951,-0.011169244
90,75,0.564427592,-4.372563843,0.871578528,0.139346035
90,100,0.61075857,-3.752814892,1.602581371,0.185675008
90,125,0.703160984,-3.868685433,2.636541086,0.256646894
90,150,0.720053637,-3.454332849,3.01961171,0.277845002
90,175,0.682510629,-2.966697405,2.703814625,0.250104155
90,200,0.626385575,-2.679560642,2.11344764,0.2016785
110,0.5,0.427462382,-5.88075951,-4.262777072,-0.122505336
200,1,0.427336138,-11.02105157,-4.376252636,-0.131029554
155,1,0.427226526,-10.5623251,-4.603689776,-0.137801755
120,0.5,0.427179336,-6.322878909,-4.50682298,-0.132124158
120,0.5,0.427179336,-6.322878909,-4.50682298,-0.132124158
77,0.8,0.427145355,-5.954572414,-4.599036906,-0.132956303
76,0.8,0.427050676,-6.063133753,-4.476603111,-0.127872329
95,5,0.364259179,-10.38797099,-2.899835219,-0.072921238
95,10,0.337466121,-9.564449869,-2.88755596,-0.074349451
95,25,0.331143406,-8.713540622,-2.24686496,-0.043672535
95,50,0.428567801,-5.258066176,-0.998604404,0.021190386
95,75,0.577165815,-4.084970746,1.091770372,0.151569377
95,100,0.645939277,-3.839927705,1.9204396,0.203743273
95,125,0.712182811,-4.233997735,2.722919035,0.268129078
95,150,0.712383048,-3.557242723,2.849088122,0.268985656
95,175,0.675219243,-3.007067471,2.43163683,0.23262817
95,200,0.599236764,-2.89681883,1.721150801,0.177924668
78,0.8,0.426791815,-6.146575286,-4.603671971,-0.133616822
200,0.5,0.42665002,-8.858719496,-4.95258271,-0.154554769
150,0.5,0.426215972,-7.781559903,-4.819919738,-0.147829095
150,0.5,0.426215972,-7.781559903,-4.819919738,-0.147829095
115,0.5,0.426094257,-6.133168461,-4.528438461,-0.132454997
115,0.5,0.426094257,-6.133168461,-4.528438461,-0.132454997
175,0.5,0.426044961,-7.925825111,-4.837792569,-0.147224327
100,5,0.369870178,-10.7644369,-3.043728647,-0.079805341
100,10,0.351228605,-9.12446569,-2.901176319,-0.068584838
100,25,0.319662385,-8.15035409,-2.321949036,-0.050931413
100,50,0.408649046,-4.750859847,-1.371724839,-0.002933635
100,75,0.570484039,-3.660424168,0.876587254,0.1380526
Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
25,1,0.426038509,-2.709127816,-1.257890229,-0.009636326
40,0.005,0.425959369,-2.154649085,-0.459981593,0.019364202
20,0.5,0.425461699,-1.845457956,-0.133367718,0.02847507
30,0.1,0.42539056,-1.982714746,-0.234863017,0.028706307
60,1,0.42517571,-6.236813682,-4.431914705,-0.127164291
35,0.5,0.425040048,-2.582258381,-0.976782996,0.00505572
40,0.01,0.423924123,-2.170047715,-0.474450791,0.018713158
100,5,0.369870178,-10.7644369,-3.043728647,-0.079805341
100,10,0.351228605,-9.12446569,-2.901176319,-0.068584838
100,25,0.319662385,-8.15035409,-2.321949036,-0.050931413
100,50,0.408649046,-4.750859847,-1.371724839,-0.002933635
100,75,0.570484039,-3.660424168,0.876587254,0.1380526
100,100,0.591974899,-3.535422347,1.545692031,0.175756458
100,125,0.729219765,-4.042961787,2.889081338,0.275091863
100,150,0.74662609,-3.346765589,3.123517351,0.287429069
100,175,0.677156312,-3.068128017,2.495658768,0.237775373
100,200,0.587090719,-2.664029614,1.681235307,0.170527589
205,1,0.423656705,-11.06849188,-4.266403862,-0.125716311
210,1,0.422891789,-10.99951106,-4.208863311,-0.124215225
140,0.5,0.422698202,-6.950256959,-4.711334729,-0.141117949
140,0.5,0.422698202,-6.950256959,-4.711334729,-0.141117949
80,0.7,0.422183539,-5.515177104,-4.257086968,-0.121302876
25,0.5,0.421960025,-2.154850888,-0.465841883,0.0188387
20,1,0.421851382,-1.991344173,-0.339841986,0.023458546
105,5,0.367853115,-10.38361055,-3.054727834,-0.081944914
105,10,0.348030419,-9.287781222,-2.927228798,-0.074371909
105,25,0.327879236,-7.808124344,-2.509949963,-0.059977627
105,50,0.398935985,-5.180363155,-1.457858294,-0.004484041
105,75,0.607224537,-3.899776179,1.325546658,0.168956756
105,100,0.652881053,-3.291089717,1.893552739,0.19759113
105,125,0.787132113,-3.332350332,3.635656238,0.317729405
105,150,0.777830599,-3.001620207,3.579706906,0.314985835
105,175,0.718628729,-2.702238138,3.082384625,0.274468331
105,200,0.636651277,-2.317796944,2.160487713,0.205884891
50,1,0.420858639,-5.340616202,-3.683631183,-0.097568636
185,1,0.420577256,-10.61553534,-4.248982072,-0.124092553
30,0.5,0.420529468,-2.173892986,-0.583378164,0.01701322
70,0.8,0.420485036,-5.784064335,-4.255093326,-0.120542864
76,0.6,0.420107931,-4.926665792,-3.870039867,-0.106298645
73,0.7,0.420070111,-5.305053809,-4.125323478,-0.113805705
75,0.8,0.419806683,-5.753448388,-4.30868925,-0.120766726
110,5,0.357125334,-10.28798679,-2.9190109,-0.078609994
110,10,0.346378141,-9.108528935,-2.94317726,-0.076721306
110,25,0.339763392,-6.749422161,-2.42641341,-0.058496044
110,50,0.420120047,-4.341909727,-1.175619676,0.010630757
110,75,0.582888823,-3.759951766,1.156587308,0.151935337
110,100,0.5925682,-3.746169595,1.497948301,0.17555988
110,125,0.736481514,-3.575452382,2.998762342,0.278686973
