Number_of_topics,beta,max_bleu,max_jaccard,max_cos,max_fscore

20,[0.52416074 0.52416074 0.52416074 ... 0.52416074 0.52416074 0.52416074],0.12881221304748366,0.07009981433723315,0.50174487,0.011956141900254671
59,[0.5082404 0.5082404 0.5082404 ... 0.5082404 0.5082404 0.5082404],0.06991388656906243,0.0366038542233442,0.40902883,0.001173100731244504
57,[0.724679 0.724679 0.724679 ... 0.724679 0.724679 0.724679],0.07941578804338266,0.04226596433038037,0.4800686,0.002015244927424268
49,[0.8883847 0.8883847 0.8883847 ... 0.8883847 0.8883847 0.8883847],0.07668884161343476,0.04041563076327868,0.55110395,0.0035111573818011545
71,[0.02230163 0.02230163 0.02230163 ... 0.02230163 0.02230163 0.02230163],0.06370318581252016,0.03327582115479906,0.4126366,0.0022945774191483574
10,[1. 1. 1. ... 1. 1. 1.],0.12389484034382439,0.06750301638370741,0.46651608,0.004046497659519481
100,[1. 1. 1. ... 1. 1. 1.],0.05932043731573699,0.03096120331572478,0.39839515,0.0017084686094729136
36,[0.99764895 0.99764895 0.99764895 ... 0.99764895 0.99764895 0.99764895],0.04308109562874006,0.022243570846908978,0.44295323,0.001303857935436883
22,[0.87980086 0.87980086 0.87980086 ... 0.87980086 0.87980086 0.87980086],0.10300487036136932,0.0551860625067922,0.4703681,0.0061317534352238676
10,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.10024466985052931,0.05364101468662421,0.40565696,0.0034411350471488596
100,[0.00988598 0.00988598 0.00988598 ... 0.00988598 0.00988598 0.00988598],0.06266706689758818,0.032787013912012324,0.3358319,0.0017389420615227067
10,[1. 1. 1. ... 1. 1. 1.],0.12389484034382439,0.06750301638370741,0.46651608,0.004046497659519481
82,[0.89888775 0.89888775 0.89888775 ... 0.89888775 0.89888775 0.89888775],0.0659303669391016,0.03464522039165664,0.47976044,0.0008832565284178187
10,[0.54330087 0.54330087 0.54330087 ... 0.54330087 0.54330087 0.54330087],0.12414339327929928,0.06766931349797567,0.46108603,0.002849903035505502
97,[0.70040953 0.70040953 0.70040953 ... 0.70040953 0.70040953 0.70040953],0.029993431100422338,0.015426103210793478,0.37969607,0.00030303030303030303
22,[0.74577874 0.74577874 0.74577874 ... 0.74577874 0.74577874 0.74577874],0.10088340148394966,0.053782248862123794,0.4590009,0.005468319890900536
52,[0.9980892 0.9980892 0.9980892 ... 0.9980892 0.9980892 0.9980892],0.07085623239254824,0.037228737920010704,0.5105016,0.0008441558441558442
56,[0.8897323 0.8897323 0.8897323 ... 0.8897323 0.8897323 0.8897323],0.0666924108578945,0.03492102656823775,0.43289605,0.0019045605075016841
46,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.0922734236062137,0.04884620957955596,0.48585296,0.00204853575373835
47,[1. 1. 1. ... 1. 1. 1.],0.08927403055847219,0.0474959316623999,0.54505575,0.0019929103154909607
40,[0.99908185 0.99908185 0.99908185 ... 0.99908185 0.99908185 0.99908185],0.05741509742150558,0.02992678105154476,0.40695998,0.0017792207792207792
51,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.11532488922473164,0.062258866531054134,0.4531405,0.006956033771035692
41,[1. 1. 1. ... 1. 1. 1.],0.07692902840541299,0.04046403314464139,0.4894827,0.0008712121212121213
10,[0.00931141 0.00931141 0.00931141 ... 0.00931141 0.00931141 0.00931141],0.10050422528560655,0.05373474323814378,0.41074154,0.003965835329471094
43,[1. 1. 1. ... 1. 1. 1.],0.05807523074359864,0.03035300580071997,0.45455274,0.0009564024390243903
43,[1. 1. 1. ... 1. 1. 1.],0.05807523074359864,0.03035300580071997,0.45455274,0.0009564024390243903
42,[1. 1. 1. ... 1. 1. 1.],0.03652607569154947,0.018783817215822684,0.4081248,0.0005202702702702703
29,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.08669586402010276,0.04609434656861467,0.36875862,0.004662584407745698
10,[0.9799213 0.9799213 0.9799213 ... 0.9799213 0.9799213 0.9799213],0.12547651070598254,0.0684297794378251,0.46796644,0.0030990002675140797
10,[1. 1. 1. ... 1. 1. 1.],0.12389484034382439,0.06750301638370741,0.46651608,0.004046497659519481
16,[1. 1. 1. ... 1. 1. 1.],0.12357474851965682,0.06759230569263724,0.53234255,0.005465162661656351
10,[0.99835426 0.99835426 0.99835426 ... 0.99835426 0.99835426 0.99835426],0.12389484034382439,0.06750301638370741,0.46651608,0.004046497659519481
86,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.08218806527328985,0.043734253908299575,0.41541642,0.0030880109624674846
100,[0.9977843 0.9977843 0.9977843 ... 0.9977843 0.9977843 0.9977843],0.05859265953795922,0.030577110296951763,0.38178742,0.001111320659383787
