Number_of_topics,beta,max_bleu,max_jaccard,max_cos,max_fscore

20,[0.52416074 0.52416074 0.52416074 ... 0.52416074 0.52416074 0.52416074],0.06047312462105304,0.03186718483973748,0.29999337,0.0038543922411298326
59,[0.5082404 0.5082404 0.5082404 ... 0.5082404 0.5082404 0.5082404],0.021236788471029305,0.01096246154280981,0.33466023,0.0021929824561403508
57,[0.724679 0.724679 0.724679 ... 0.724679 0.724679 0.724679],0.023068052686819794,0.011891720080450306,0.30326915,0.0044281376518218625
49,[0.8883847 0.8883847 0.8883847 ... 0.8883847 0.8883847 0.8883847],0.0380043463816677,0.019774884293834186,0.33896428,0.0020198308907986326
71,[0.02230163 0.02230163 0.02230163 ... 0.02230163 0.02230163 0.02230163],0.02293249663346215,0.011819001970745847,0.37788573,0.0006203007518796992
100,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.00973752451132267,0.004984528128147307,nan,nan
20,[0.52416074 0.52416074 0.52416074 ... 0.52416074 0.52416074 0.52416074],0.06047312462105304,0.03186718483973748,0.29999337,0.0007362784471218206
59,[0.5082404 0.5082404 0.5082404 ... 0.5082404 0.5082404 0.5082404],0.021236788471029305,0.01096246154280981,0.33466023,0.001984126984126984
57,[0.724679 0.724679 0.724679 ... 0.724679 0.724679 0.724679],0.023068052686819794,0.011891720080450306,0.30326915,0.0018245663650075417
49,[0.8883847 0.8883847 0.8883847 ... 0.8883847 0.8883847 0.8883847],0.0380043463816677,0.019774884293834186,0.33896428,0.0016339869281045752
71,[0.02230163 0.02230163 0.02230163 ... 0.02230163 0.02230163 0.02230163],0.02293249663346215,0.011819001970745847,0.37788573,0.0006199683726279471
51,[0.05007043 0.05007043 0.05007043 ... 0.05007043 0.05007043 0.05007043],0.02242054771567893,0.011558065977626293,0.33504292,0.000892304973937627
88,[0.12271807 0.12271807 0.12271807 ... 0.12271807 0.12271807 0.12271807],0.011415378387127726,0.005861619352117347,0.3194206,0.00029708853238265005
72,[0.86999476 0.86999476 0.86999476 ... 0.86999476 0.86999476 0.86999476],0.0318285625457359,0.016565297438274364,0.3818464,0.0007142857142857143
42,[0.34867793 0.34867793 0.34867793 ... 0.34867793 0.34867793 0.34867793],0.02895591814875522,0.014997555460505433,0.34895802,0.0026455026455026454
72,[0.48241556 0.48241556 0.48241556 ... 0.48241556 0.48241556 0.48241556],0.02142021396249159,0.011045464883004494,0.31568587,0.0010900673400673399
65,[0.05183733 0.05183733 0.05183733 ... 0.05183733 0.05183733 0.05183733],0.024409947091566683,0.012563175098575746,0.3675204,0.0008417508417508418
75,[0.50993836 0.50993836 0.50993836 ... 0.50993836 0.50993836 0.50993836],0.016216462767247572,0.008418937830479952,0.35634768,0.0008471479500891265
70,[0.40283528 0.40283528 0.40283528 ... 0.40283528 0.40283528 0.40283528],0.02958746141961637,0.015333366532257444,0.3459436,0.0014119601328903657
45,[0.5607668 0.5607668 0.5607668 ... 0.5607668 0.5607668 0.5607668],0.03096177987177084,0.016034018486061147,0.34338552,0.0015983888948825837
21,[0.01599575 0.01599575 0.01599575 ... 0.01599575 0.01599575 0.01599575],0.052551146300838084,0.02761604515183209,0.35504133,0.002595425163814952
81,[0.4618827 0.4618827 0.4618827 ... 0.4618827 0.4618827 0.4618827],0.02021872330967472,0.010404137788379396,0.36112744,0.0008917800361650628
16,[0.57216555 0.57216555 0.57216555 ... 0.57216555 0.57216555 0.57216555],0.06550486310422357,0.034528059053823904,0.40448627,0.002236728333222022
74,[0.54881144 0.54881144 0.54881144 ... 0.54881144 0.54881144 0.54881144],0.01432423847795606,0.007333468333199195,0.32979417,0.00030921459492888067
27,[0.16873167 0.16873167 0.16873167 ... 0.16873167 0.16873167 0.16873167],0.04545074053952359,0.02363063718310199,0.34810457,0.005166923772774861
76,[0.883486 0.883486 0.883486 ... 0.883486 0.883486 0.883486],0.022865581781297484,0.011849597803742125,0.3134168,0.0019785498740559023
10,[0.99970573 0.99970573 0.99970573 ... 0.99970573 0.99970573 0.99970573],0.058131207138033415,0.030574174457186232,0.30410212,0.002027833812172708
100,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.00973752451132267,0.004984528128147307,nan,nan
