Number_of_topics,beta,max_bleu,max_jaccard,max_cos,max_fscore

20,[0.52416074 0.52416074 0.52416074 ... 0.52416074 0.52416074 0.52416074],0.11063915581323858,0.06005884129492425,0.48832548,0.005952380952380952
59,[0.5082404 0.5082404 0.5082404 ... 0.5082404 0.5082404 0.5082404],0.06001528206442062,0.03130090688609219,0.38389862,0.0023233789060401965
57,[0.724679 0.724679 0.724679 ... 0.724679 0.724679 0.724679],0.07237701729665413,0.03795997705919018,0.48394418,0.0024653341932753697
49,[0.8883847 0.8883847 0.8883847 ... 0.8883847 0.8883847 0.8883847],0.07037658221972604,0.03696692430262953,0.5042992,0.004125155230357827
71,[0.02230163 0.02230163 0.02230163 ... 0.02230163 0.02230163 0.02230163],0.07692905511890719,0.04062662234791212,0.49934492,0.005613625643574156
100,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.08073975813051208,0.04273288895213491,0.38636264,0.0058516510776947216
10,[1. 1. 1. ... 1. 1. 1.],0.10425467505643495,0.05632111520728897,0.5004186,0.005572757802315191
10,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.08623776820038033,0.046046898468568395,0.4158057,0.003108003108003108
10,[1. 1. 1. ... 1. 1. 1.],0.10425467505643495,0.05632111520728897,0.5004186,0.005572757802315191
14,[0.03939396 0.03939396 0.03939396 ... 0.03939396 0.03939396 0.03939396],0.13223789652417983,0.07254047671842273,0.43771365,0.005640905843847021
65,[0.8935863 0.8935863 0.8935863 ... 0.8935863 0.8935863 0.8935863],0.056920904146268006,0.0298140973610035,0.47218555,0.002932481833486138
11,[0.8658596 0.8658596 0.8658596 ... 0.8658596 0.8658596 0.8658596],0.09672636233545985,0.05215743907565314,0.40213886,0.003605808605808606
22,[0.53924555 0.53924555 0.53924555 ... 0.53924555 0.53924555 0.53924555],0.11096480705672068,0.059605132827974666,0.44137734,0.0029174154019355257
10,[0.4547683 0.4547683 0.4547683 ... 0.4547683 0.4547683 0.4547683],0.1041134003761978,0.056165153088126994,0.4906731,0.0028211043342622286
86,[0.98385733 0.98385733 0.98385733 ... 0.98385733 0.98385733 0.98385733],0.051836839579821034,0.026964257868502386,0.46162564,0.003301586857078848
81,[1. 1. 1. ... 1. 1. 1.],0.035443667246573385,0.018225983073745157,0.4102177,0.001813256635837281
97,[0.9993869 0.9993869 0.9993869 ... 0.9993869 0.9993869 0.9993869],0.04252181712118634,0.022066257510981267,0.42044285,0.003958761518482804
10,[0.0011973 0.0011973 0.0011973 ... 0.0011973 0.0011973 0.0011973],0.08623776820038033,0.046046898468568395,0.4158057,0.003108003108003108
12,[0.43240076 0.43240076 0.43240076 ... 0.43240076 0.43240076 0.43240076],0.12156075576381169,0.06623430853842822,0.50334805,0.041666666666666664
100,[0.40973687 0.40973687 0.40973687 ... 0.40973687 0.40973687 0.40973687],0.041708371784378764,0.02156710635965383,0.40863007,0.0025018857405221043
24,[0.88766074 0.88766074 0.88766074 ... 0.88766074 0.88766074 0.88766074],0.09374886990506112,0.049920189101734375,0.5330739,0.0039139432060005955
10,[0.95910794 0.95910794 0.95910794 ... 0.95910794 0.95910794 0.95910794],0.10575953342270634,0.05722615039724774,0.502779,0.0038711788676725565
10,[0.9284812 0.9284812 0.9284812 ... 0.9284812 0.9284812 0.9284812],0.10576436434058074,0.05722195208600663,0.502779,0.0038711788676725565
10,[0.89101195 0.89101195 0.89101195 ... 0.89101195 0.89101195 0.89101195],0.10634233256800549,0.05749669210274105,0.5060129,0.004882483319983319
